,ruleid,rule,upi,fresp,code,function
89,2,all are the same size,dovkssrwtq,two triangles have to be same color and one has to be a different color,d,"exactly(function(x1) {exists(function(x2){exactly(function(x3){and(and(equal(x1,x2, 'colour'), not(equal(x2,x3, 'colour'))), not(equal(x1,x2,'object')))}, 1, X)},  X)}, 2, X)"
90,2,all are the same size,ocxraeygfp,at least two of the same size yoks have to be touched but they have to be different colors,d,"exists(function(x1){exists(function(x2){and(and(hor(x1,x2,'contact'), equal(x1,x2,'size')), not(equal(x1,x2,'colour')))}, X)}, X)"
91,2,all are the same size,asqvqojvif,there cannot be more than two shapes at a time,d,"atmost(function(x1) {T}, 2, X)"
92,2,all are the same size,jfzfqqzvmb,two have to be touching and one does not have to be touching,d,"exists(function(x1){exists(function(x2){atleast(function(x3) {hor(x1,x2,'contact')}, 3, X)}, X)}, X)"
93,2,all are the same size,onlemdbnfq,three of the same shape pimwits ,d,"exactly(function(x1) {exists(function(x2) {and(equal(x1,x2,'colour'), equal(x1,x2,'size'))}, X)}, 3, X)"
94,2,all are the same size,aslbalavqe,you have to go by the colors red and green,d,"exists(function(x1){exists(function(x2){and(equal(x1,'red','colour'),equal(x2,'green','colour'))}, X)}, X)"
95,3,Nothing is upright,mesbxrjdpg,there has to be red and blue and the two reds have to be touching and they cant be overlapping,d,"exists(function(x1){exists(function(x2){exists(function(x3){and(and(and(equal(x1, 'red','colour'),equal(x2,'red','colour' )), hor(x1,x2,'contact')), equal(x3,'blue','colour'))}, X)}, X)}, X)"
96,3,Nothing is upright,zwrcdrrtwi,they have to be facing up and they cannot be on their side,d,"forall(function(x1) {equal(x1,'upright','orientation')}, X)"
97,3,Nothing is upright,hibacpjdfh,they cannot be all the same color and they can be facing different ways or the same way,d,"forall(function(x1){exists(function(x2){not(equal(x1,x2,'colour'))}, X)}, X)"
98,3,Nothing is upright,ovngoiiqro,they cannot be upright,c,"forall(function(x1){not(equal(x1,'upright','orientation'))}, X)"
99,3,Nothing is upright,jafwjckfvc,there has to be red blocks balanced on each other,d,"exists(function(x1){exists(function(x2){and(and(hor(x1,x2,'stacked'),equal(x1,'red','colour')), equal(x2,'red','colour'))}, X)}, X)"
100,3,Nothing is upright,cgilusiyxy,they have to have no pieces on top of each other,d,"forall(function(x1){forall(function(x2){not(hor(x1,x2,'stacked'))}, X)}, X)"
101,3,Nothing is upright,wdrpuuyzji,all of the shapes cannot be facing up,c,"forall(function(x1){not(equal(x1,'upright','orientation'))}, X)"
102,3,Nothing is upright,yjheaxptzh,one block has to be leaning,d,"exactly(function(x1){equal(x1,'strange','orientation')},1,X)"
103,3,Nothing is upright,sgygmhiwae,the blue one has to just be slanted and one of the red points has to be touching one of the red sides,d,"exists(function(x1){exists(function(x2){exists(function(x3){and(and(and(and(equal(x1,'blue','colour'),not(equal(x1,'upright','orientation'))),equal(x2,'red','colour')), equal(x3,'red','colour')), hor(x2,x3,'contact'))}, X)}, X)}, X)"
104,3,Nothing is upright,lwtvybinkx,one pimwit has to be leaning on another pimwit and another one has to be facing them diagonally,d,"exists(function(x1){exists(function(x2){exists(function(x3){and(hor(x1,x2,'contact'), hor(x2,x3,'pointing'))}, X)}, X)}, X)"
105,3,Nothing is upright,hqdzvryszc,they have to be pointing sideways either way but not up and down,c,"forall(function(x1){not(equal(x1,'upright','orientation'))}, X)"
106,3,Nothing is upright,arybnplgmd,there has to be one on top of another that is slanted and one off to the side,d,"exists(function(x1){exists(function(x2){and(and(hor(x1,x2,'contact'), less(x1,x2,'ypos')), not(equal(x1,'upright','orientation')))}, X)}, X)"
107,3,Nothing is upright,veyjvlxish,they have to be on top of each other,d,"exists(function(x1){exists(function(x2){hor(x1,x2,'stacked')}, X)}, X)"
108,3,Nothing is upright,zmtqpimofq,one corner must be up and not touching anything and probably needs something with it,v,"exists(function(x1){not(equal(x1, 'upright','orientation'))}, X)"
109,3,Nothing is upright,fyyogkywea,none of them can be upright,c,"forall(function(x1){not(equal(x1,'upright','orientation'))}, X)"
110,3,Nothing is upright,mkzkmzxgrf,you have to use some of the larger red ones but they cannot be on top of each other,d,"exists(function(x1){exists(function(x2){and(and(and(equal(x1, 'red','colour'), equal(x2,'red','colour')), not(equal(x1,x2,'object'))), not(hor(x1,x2,'stacked')))}, X)}, X)"
111,3,Nothing is upright,reowfvdqqu,both of the red ones have to be down and the blue one has to be up,d,"exists(function(x1){exists(function(x2){exists(function(x3){and(and(and(and(and(and(equal(x1,'red','colour'), equal(x2,'red','colour')), not(equal(x1,x2,'object'))), equal(x2,'blue','colour')), equal(x1, 'upright', 'orientation')), equal(x2,'upright','orientation')), not(equal(x3,'upright','orientation')))}, X)}, X)}, X)"
